2023-11-21 10:12 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.0509 | Acc: 98.25%
2023-11-21 10:12 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.2055 | Acc: 92.41%
2023-11-21 10:13 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.1886 | Acc: 93.47%
2023-11-21 10:13 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.5299 | Acc: 87.13%
2023-11-21 10:13 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.6578 | Acc: 79.32%
2023-11-21 10:13 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.3653 | Acc: 87.94%
2023-11-21 10:13 Model saved! Best Val Acc: 85.23%
2023-11-21 10:13 test_domain Round:   0 | Epochs:   0 | Domain: a | loss: 1.0282 | Acc: 63.72%
2023-11-21 10:13 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.0523 | Acc: 98.83%
2023-11-21 10:13 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.1484 | Acc: 95.78%
2023-11-21 10:14 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.1898 | Acc: 93.22%
2023-11-21 10:14 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.2295 | Acc: 94.74%
2023-11-21 10:14 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.4787 | Acc: 83.54%
2023-11-21 10:14 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.2188 | Acc: 91.21%
2023-11-21 10:14 Model saved! Best Val Acc: 89.69%
2023-11-21 10:14 test_domain Round:   1 | Epochs:   5 | Domain: a | loss: 0.7679 | Acc: 73.83%
2023-11-21 10:14 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0444 | Acc: 99.42%
2023-11-21 10:14 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.2548 | Acc: 92.41%
2023-11-21 10:14 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.1881 | Acc: 93.97%
2023-11-21 10:14 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.1995 | Acc: 94.15%
2023-11-21 10:14 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.3955 | Acc: 89.45%
2023-11-21 10:14 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.2027 | Acc: 92.71%
2023-11-21 10:14 Model saved! Best Val Acc: 92.05%
2023-11-21 10:14 test_domain Round:   2 | Epochs:  10 | Domain: a | loss: 0.8264 | Acc: 73.68%
2023-11-21 10:14 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.0351 | Acc: 99.42%
2023-11-21 10:15 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.1650 | Acc: 94.94%
2023-11-21 10:15 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.2340 | Acc: 93.97%
2023-11-21 10:15 after_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.1739 | Acc: 93.57%
2023-11-21 10:15 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.3423 | Acc: 90.72%
2023-11-21 10:15 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.2317 | Acc: 91.71%
2023-11-21 10:15 test_domain Round:   3 | Epochs:  15 | Domain: a | loss: 0.8230 | Acc: 74.66%
2023-11-21 10:15 before_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.0244 | Acc: 99.42%
2023-11-21 10:15 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.1783 | Acc: 94.09%
2023-11-21 10:16 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.1724 | Acc: 94.47%
2023-11-21 10:16 after_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.1916 | Acc: 92.40%
2023-11-21 10:16 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.3637 | Acc: 89.87%
2023-11-21 10:16 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.1781 | Acc: 93.72%
2023-11-21 10:16 Model saved! Best Val Acc: 92.31%
2023-11-21 10:16 test_domain Round:   4 | Epochs:  20 | Domain: a | loss: 0.8093 | Acc: 75.63%
2023-11-21 10:16 before_fed Round:   5 | Epochs:  25 | Domain: p | loss: 0.0295 | Acc: 99.42%
2023-11-21 10:16 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.1845 | Acc: 92.83%
2023-11-21 10:17 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.1446 | Acc: 95.48%
2023-11-21 10:17 after_fed Round:   5 | Epochs:  25 | Domain: p | loss: 0.1914 | Acc: 93.57%
2023-11-21 10:17 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.4423 | Acc: 88.19%
2023-11-21 10:17 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.1727 | Acc: 93.47%
2023-11-21 10:17 test_domain Round:   5 | Epochs:  25 | Domain: a | loss: 0.8672 | Acc: 75.49%
