2023-11-21 10:48 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.0513 | Acc: 98.83%
2023-11-21 10:48 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.2974 | Acc: 90.87%
2023-11-21 10:48 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.2021 | Acc: 93.22%
2023-11-21 10:48 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.2957 | Acc: 94.74%
2023-11-21 10:48 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.8125 | Acc: 70.19%
2023-11-21 10:48 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.4172 | Acc: 88.44%
2023-11-21 10:48 Model saved! Best Val Acc: 84.93%
2023-11-21 10:48 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 0.9376 | Acc: 65.74%
2023-11-21 10:49 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.0452 | Acc: 99.42%
2023-11-21 10:49 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.2913 | Acc: 91.35%
2023-11-21 10:49 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.2218 | Acc: 92.96%
2023-11-21 10:49 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.1437 | Acc: 95.32%
2023-11-21 10:49 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.7213 | Acc: 74.52%
2023-11-21 10:49 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.2676 | Acc: 91.21%
2023-11-21 10:49 Model saved! Best Val Acc: 87.64%
2023-11-21 10:49 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 0.8688 | Acc: 70.05%
2023-11-21 10:49 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0244 | Acc: 99.42%
2023-11-21 10:50 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.2898 | Acc: 90.38%
2023-11-21 10:50 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.2094 | Acc: 93.22%
2023-11-21 10:50 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0801 | Acc: 97.66%
2023-11-21 10:50 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.5594 | Acc: 81.25%
2023-11-21 10:50 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.2827 | Acc: 88.94%
2023-11-21 10:50 Model saved! Best Val Acc: 88.79%
2023-11-21 10:50 test_domain Round:   2 | Epochs:  10 | Domain: c | loss: 0.9003 | Acc: 70.65%
2023-11-21 10:50 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.0302 | Acc: 98.83%
2023-11-21 10:50 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.2964 | Acc: 92.79%
2023-11-21 10:51 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.1705 | Acc: 95.23%
2023-11-21 10:51 after_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.0658 | Acc: 97.08%
2023-11-21 10:51 after_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.5873 | Acc: 81.73%
2023-11-21 10:51 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.2046 | Acc: 92.71%
2023-11-21 10:51 Model saved! Best Val Acc: 90.72%
2023-11-21 10:51 test_domain Round:   3 | Epochs:  15 | Domain: c | loss: 0.7705 | Acc: 75.94%
2023-11-21 10:51 before_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.0135 | Acc: 100.00%
2023-11-21 10:51 before_fed Round:   4 | Epochs:  20 | Domain: a | loss: 0.2569 | Acc: 92.79%
2023-11-21 10:51 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.1683 | Acc: 94.72%
2023-11-21 10:51 after_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.0617 | Acc: 98.25%
2023-11-21 10:51 after_fed Round:   4 | Epochs:  20 | Domain: a | loss: 0.5268 | Acc: 83.17%
2023-11-21 10:51 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.2181 | Acc: 92.71%
2023-11-21 10:51 Model saved! Best Val Acc: 91.37%
2023-11-21 10:51 test_domain Round:   4 | Epochs:  20 | Domain: c | loss: 0.7654 | Acc: 76.24%
2023-11-21 10:52 before_fed Round:   5 | Epochs:  25 | Domain: p | loss: 0.0172 | Acc: 100.00%
2023-11-21 10:52 before_fed Round:   5 | Epochs:  25 | Domain: a | loss: 0.2631 | Acc: 92.79%
2023-11-21 10:52 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.1939 | Acc: 93.47%
2023-11-21 10:52 after_fed Round:   5 | Epochs:  25 | Domain: p | loss: 0.0471 | Acc: 98.83%
2023-11-21 10:52 after_fed Round:   5 | Epochs:  25 | Domain: a | loss: 0.5115 | Acc: 84.62%
2023-11-21 10:52 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.2142 | Acc: 93.22%
2023-11-21 10:52 Model saved! Best Val Acc: 92.14%
2023-11-21 10:52 test_domain Round:   5 | Epochs:  25 | Domain: c | loss: 0.9677 | Acc: 72.87%
2023-11-21 10:52 before_fed Round:   6 | Epochs:  30 | Domain: p | loss: 0.0201 | Acc: 99.42%
2023-11-21 10:53 before_fed Round:   6 | Epochs:  30 | Domain: a | loss: 0.2751 | Acc: 90.87%
2023-11-21 10:53 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.1595 | Acc: 95.23%
2023-11-21 10:53 after_fed Round:   6 | Epochs:  30 | Domain: p | loss: 0.0470 | Acc: 98.25%
2023-11-21 10:53 after_fed Round:   6 | Epochs:  30 | Domain: a | loss: 0.5115 | Acc: 84.13%
2023-11-21 10:53 after_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.2066 | Acc: 92.21%
2023-11-21 10:53 test_domain Round:   6 | Epochs:  30 | Domain: c | loss: 0.8377 | Acc: 76.96%
2023-11-21 10:53 before_fed Round:   7 | Epochs:  35 | Domain: p | loss: 0.0397 | Acc: 98.83%
2023-11-21 10:53 before_fed Round:   7 | Epochs:  35 | Domain: a | loss: 0.2228 | Acc: 91.83%
2023-11-21 10:54 before_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.1799 | Acc: 93.97%
2023-11-21 10:54 after_fed Round:   7 | Epochs:  35 | Domain: p | loss: 0.0468 | Acc: 97.66%
2023-11-21 10:54 after_fed Round:   7 | Epochs:  35 | Domain: a | loss: 0.5330 | Acc: 82.69%
2023-11-21 10:54 after_fed Round:   7 | Epochs:  35 | Domain: s | loss: 0.2074 | Acc: 93.47%
2023-11-21 10:54 test_domain Round:   7 | Epochs:  35 | Domain: c | loss: 0.9754 | Acc: 73.93%
2023-11-21 10:54 before_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.0184 | Acc: 99.42%
2023-11-21 10:54 before_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.2650 | Acc: 92.31%
2023-11-21 10:54 before_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.1775 | Acc: 95.23%
2023-11-21 10:54 after_fed Round:   8 | Epochs:  40 | Domain: p | loss: 0.0538 | Acc: 97.08%
2023-11-21 10:54 after_fed Round:   8 | Epochs:  40 | Domain: a | loss: 0.4388 | Acc: 86.54%
2023-11-21 10:54 after_fed Round:   8 | Epochs:  40 | Domain: s | loss: 0.2249 | Acc: 93.47%
2023-11-21 10:54 Model saved! Best Val Acc: 92.40%
2023-11-21 10:54 test_domain Round:   8 | Epochs:  40 | Domain: c | loss: 0.8110 | Acc: 77.35%
2023-11-21 10:55 before_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.0110 | Acc: 100.00%
2023-11-21 10:55 before_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.2336 | Acc: 93.27%
2023-11-21 10:55 before_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.1900 | Acc: 94.72%
2023-11-21 10:55 after_fed Round:   9 | Epochs:  45 | Domain: p | loss: 0.0513 | Acc: 97.66%
2023-11-21 10:55 after_fed Round:   9 | Epochs:  45 | Domain: a | loss: 0.4679 | Acc: 86.06%
2023-11-21 10:55 after_fed Round:   9 | Epochs:  45 | Domain: s | loss: 0.2244 | Acc: 92.21%
2023-11-21 10:55 test_domain Round:   9 | Epochs:  45 | Domain: c | loss: 0.9962 | Acc: 75.43%
