2023-11-20 23:36 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.2999 | Acc: 92.31%
2023-11-20 23:37 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.1824 | Acc: 93.67%
2023-11-20 23:37 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.1860 | Acc: 93.97%
2023-11-20 23:37 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.7988 | Acc: 73.56%
2023-11-20 23:37 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.5769 | Acc: 80.59%
2023-11-20 23:37 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.3163 | Acc: 90.20%
2023-11-20 23:37 Model saved! Best Val Acc: 83.40%
2023-11-20 23:37 test_domain Round:   0 | Epochs:   0 | Domain: p | loss: 0.4818 | Acc: 89.46%
2023-11-20 23:37 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.2425 | Acc: 93.75%
2023-11-20 23:37 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.1850 | Acc: 94.94%
2023-11-20 23:38 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.1817 | Acc: 94.72%
2023-11-20 23:38 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.6022 | Acc: 79.33%
2023-11-20 23:38 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.5132 | Acc: 83.54%
2023-11-20 23:38 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.2199 | Acc: 92.21%
2023-11-20 23:38 Model saved! Best Val Acc: 86.60%
2023-11-20 23:38 test_domain Round:   1 | Epochs:   5 | Domain: p | loss: 0.2672 | Acc: 91.74%
2023-11-20 23:38 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.2319 | Acc: 91.83%
2023-11-20 23:38 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.1834 | Acc: 92.83%
2023-11-20 23:38 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.1224 | Acc: 95.23%
2023-11-20 23:38 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.5935 | Acc: 80.77%
2023-11-20 23:38 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.3939 | Acc: 87.76%
2023-11-20 23:38 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.1797 | Acc: 92.71%
2023-11-20 23:38 Model saved! Best Val Acc: 88.38%
2023-11-20 23:38 test_domain Round:   2 | Epochs:  10 | Domain: p | loss: 0.2806 | Acc: 90.90%
2023-11-20 23:39 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.2851 | Acc: 90.38%
2023-11-20 23:39 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.1796 | Acc: 95.36%
2023-11-20 23:39 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.1839 | Acc: 94.72%
2023-11-20 23:39 after_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.5480 | Acc: 80.77%
2023-11-20 23:39 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.3712 | Acc: 89.03%
2023-11-20 23:39 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.1666 | Acc: 92.46%
2023-11-20 23:39 Model saved! Best Val Acc: 88.62%
2023-11-20 23:39 test_domain Round:   3 | Epochs:  15 | Domain: p | loss: 0.2521 | Acc: 92.16%
2023-11-20 23:39 before_fed Round:   4 | Epochs:  20 | Domain: a | loss: 0.2151 | Acc: 92.31%
2023-11-20 23:40 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.2092 | Acc: 94.51%
2023-11-20 23:40 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.1743 | Acc: 94.72%
2023-11-20 23:40 after_fed Round:   4 | Epochs:  20 | Domain: a | loss: 0.5042 | Acc: 82.69%
