2023-11-21 11:37 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.0545 | Acc: 99.42%
2023-11-21 11:37 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.2834 | Acc: 91.35%
2023-11-21 11:37 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.2211 | Acc: 94.09%
2023-11-21 11:37 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.0723 | Acc: 98.83%
2023-11-21 11:37 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.5424 | Acc: 83.17%
2023-11-21 11:37 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.5359 | Acc: 81.43%
2023-11-21 11:37 Model saved! Best Val Acc: 86.81%
2023-11-21 11:37 test_domain Round:   0 | Epochs:   0 | Domain: s | loss: 0.8878 | Acc: 68.34%
2023-11-21 11:38 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.0438 | Acc: 98.25%
2023-11-21 11:38 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.2903 | Acc: 90.38%
2023-11-21 11:38 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.1241 | Acc: 96.62%
2023-11-21 11:38 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.0508 | Acc: 98.83%
2023-11-21 11:38 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.4061 | Acc: 87.02%
2023-11-21 11:38 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.3125 | Acc: 89.45%
2023-11-21 11:38 Model saved! Best Val Acc: 91.21%
2023-11-21 11:38 test_domain Round:   1 | Epochs:   5 | Domain: s | loss: 0.7279 | Acc: 72.49%
2023-11-21 11:38 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0546 | Acc: 97.66%
2023-11-21 11:38 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.2618 | Acc: 91.83%
2023-11-21 11:39 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.1515 | Acc: 94.51%
2023-11-21 11:39 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0447 | Acc: 98.83%
2023-11-21 11:39 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.3340 | Acc: 88.46%
2023-11-21 11:39 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.2836 | Acc: 90.72%
2023-11-21 11:39 Model saved! Best Val Acc: 92.19%
