2023-11-20 10:27 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.0515 | Acc: 98.83%
2023-11-20 10:27 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.2222 | Acc: 92.41%
2023-11-20 10:27 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.2243 | Acc: 92.46%
2023-11-20 10:27 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.6343 | Acc: 85.38%
2023-11-20 10:27 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.7056 | Acc: 75.53%
2023-11-20 10:27 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.6078 | Acc: 80.65%
2023-11-20 10:27 Model saved! Best Val Acc: 80.13%
2023-11-20 10:27 test_domain Round:   0 | Epochs:   0 | Domain: a | loss: 1.2536 | Acc: 55.66%
2023-11-20 10:28 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.0349 | Acc: 99.42%
2023-11-20 10:28 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.1736 | Acc: 95.36%
2023-11-20 10:28 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.2310 | Acc: 91.21%
2023-11-20 10:28 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.2560 | Acc: 92.98%
2023-11-20 10:28 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.5018 | Acc: 81.43%
2023-11-20 10:28 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.2914 | Acc: 88.69%
2023-11-20 10:28 Model saved! Best Val Acc: 87.45%
2023-11-20 10:28 test_domain Round:   1 | Epochs:   5 | Domain: a | loss: 1.0021 | Acc: 66.65%
2023-11-20 10:28 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0423 | Acc: 98.83%
2023-11-20 10:29 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.2051 | Acc: 93.67%
2023-11-20 10:29 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.2251 | Acc: 91.96%
2023-11-20 10:29 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.1673 | Acc: 94.15%
2023-11-20 10:29 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.4637 | Acc: 84.81%
2023-11-20 10:29 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.2380 | Acc: 91.96%
2023-11-20 10:29 Model saved! Best Val Acc: 90.31%
2023-11-20 10:29 test_domain Round:   2 | Epochs:  10 | Domain: a | loss: 0.8694 | Acc: 71.78%
2023-11-20 10:29 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.0329 | Acc: 98.83%
2023-11-20 10:29 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.1949 | Acc: 94.51%
2023-11-20 10:30 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.1727 | Acc: 93.72%
2023-11-20 10:30 after_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.1350 | Acc: 94.74%
2023-11-20 10:30 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.3727 | Acc: 87.76%
2023-11-20 10:30 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.2480 | Acc: 91.96%
2023-11-20 10:30 Model saved! Best Val Acc: 91.31%
2023-11-20 10:30 test_domain Round:   3 | Epochs:  15 | Domain: a | loss: 0.7376 | Acc: 75.93%
2023-11-20 10:30 before_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.0328 | Acc: 98.83%
2023-11-20 10:30 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.1895 | Acc: 94.94%
2023-11-20 10:30 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.1584 | Acc: 94.47%
2023-11-20 10:30 after_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.1603 | Acc: 94.15%
2023-11-20 10:30 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.3985 | Acc: 87.34%
2023-11-20 10:30 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.2268 | Acc: 92.96%
2023-11-20 10:30 Model saved! Best Val Acc: 91.56%
2023-11-20 10:30 test_domain Round:   4 | Epochs:  20 | Domain: a | loss: 0.8804 | Acc: 73.39%
2023-11-20 10:31 before_fed Round:   5 | Epochs:  25 | Domain: p | loss: 0.0191 | Acc: 99.42%
2023-11-20 10:31 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.1475 | Acc: 95.36%
2023-11-20 10:31 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.1406 | Acc: 95.73%
2023-11-20 10:31 after_fed Round:   5 | Epochs:  25 | Domain: p | loss: 0.1340 | Acc: 95.91%
2023-11-20 10:31 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.4118 | Acc: 86.92%
2023-11-20 10:31 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.1724 | Acc: 93.97%
2023-11-20 10:31 Model saved! Best Val Acc: 92.30%
2023-11-20 10:31 test_domain Round:   5 | Epochs:  25 | Domain: a | loss: 0.8130 | Acc: 75.00%
2023-11-20 10:31 before_fed Round:   6 | Epochs:  30 | Domain: p | loss: 0.0284 | Acc: 98.83%
2023-11-20 10:32 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.2011 | Acc: 94.09%
2023-11-20 10:32 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.1870 | Acc: 93.72%
