2023-11-20 11:45 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.0465 | Acc: 99.42%
2023-11-20 11:46 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.3254 | Acc: 90.87%
2023-11-20 11:46 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.2177 | Acc: 93.97%
2023-11-20 11:46 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.3913 | Acc: 95.91%
2023-11-20 11:46 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.9456 | Acc: 67.31%
2023-11-20 11:46 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.6959 | Acc: 77.89%
2023-11-20 11:46 Model saved! Best Val Acc: 78.99%
2023-11-20 11:46 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 1.0275 | Acc: 63.10%
2023-11-20 11:46 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.0306 | Acc: 100.00%
2023-11-20 11:46 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.2864 | Acc: 90.87%
2023-11-20 11:47 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.1608 | Acc: 93.97%
2023-11-20 11:47 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.1814 | Acc: 96.49%
2023-11-20 11:47 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.7141 | Acc: 78.85%
2023-11-20 11:47 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.3505 | Acc: 88.44%
2023-11-20 11:47 Model saved! Best Val Acc: 87.63%
2023-11-20 11:47 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 0.9053 | Acc: 67.75%
2023-11-20 11:47 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0318 | Acc: 99.42%
2023-11-20 11:47 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.3129 | Acc: 89.90%
2023-11-20 11:48 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.1400 | Acc: 94.22%
2023-11-20 11:48 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.1246 | Acc: 97.08%
2023-11-20 11:48 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.5742 | Acc: 81.25%
2023-11-20 11:48 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.2429 | Acc: 91.21%
2023-11-20 11:48 Model saved! Best Val Acc: 89.82%
