2023-11-19 19:50 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.3331 | Acc: 90.87%
2023-11-19 19:51 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.2143 | Acc: 91.56%
2023-11-19 19:51 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.2025 | Acc: 92.71%
2023-11-19 19:51 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.9414 | Acc: 69.23%
2023-11-19 19:51 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.6426 | Acc: 78.90%
2023-11-19 19:51 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.4377 | Acc: 91.21%
2023-11-19 19:51 Model saved! Best Val Acc: 82.33%
2023-11-19 19:51 test_domain Round:   0 | Epochs:   0 | Domain: p | loss: 0.6414 | Acc: 80.48%
2023-11-19 19:51 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.2839 | Acc: 90.38%
2023-11-19 19:51 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.1753 | Acc: 94.94%
2023-11-19 19:52 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.2145 | Acc: 92.46%
2023-11-19 19:52 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.6620 | Acc: 78.85%
2023-11-19 19:52 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.4792 | Acc: 81.43%
2023-11-19 19:52 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.2524 | Acc: 91.46%
2023-11-19 19:52 Model saved! Best Val Acc: 85.53%
2023-11-19 19:52 test_domain Round:   1 | Epochs:   5 | Domain: p | loss: 0.3854 | Acc: 89.52%
2023-11-19 19:52 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.2941 | Acc: 89.90%
2023-11-19 19:52 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.1532 | Acc: 94.94%
2023-11-19 19:53 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.1674 | Acc: 93.47%
2023-11-19 19:53 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.6022 | Acc: 79.81%
2023-11-19 19:53 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.4460 | Acc: 84.39%
2023-11-19 19:53 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.1975 | Acc: 93.47%
2023-11-19 19:53 Model saved! Best Val Acc: 87.55%
2023-11-19 19:53 test_domain Round:   2 | Epochs:  10 | Domain: p | loss: 0.3053 | Acc: 91.26%
2023-11-19 19:53 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.2795 | Acc: 91.35%
2023-11-19 19:53 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.1946 | Acc: 93.67%
2023-11-19 19:53 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.1829 | Acc: 93.22%
2023-11-19 19:53 after_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.5571 | Acc: 81.73%
2023-11-19 19:53 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.3025 | Acc: 90.30%
2023-11-19 19:53 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.1992 | Acc: 92.71%
2023-11-19 19:53 Model saved! Best Val Acc: 89.33%
2023-11-19 19:53 test_domain Round:   3 | Epochs:  15 | Domain: p | loss: 0.2985 | Acc: 91.08%
2023-11-19 19:54 before_fed Round:   4 | Epochs:  20 | Domain: a | loss: 0.3066 | Acc: 90.87%
2023-11-19 19:54 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.1480 | Acc: 94.51%
2023-11-19 19:54 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.1631 | Acc: 94.47%
