2023-11-20 17:57 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.0559 | Acc: 97.66%
2023-11-20 17:57 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.3632 | Acc: 87.02%
2023-11-20 17:57 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.2431 | Acc: 91.14%
2023-11-20 17:57 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.1249 | Acc: 98.83%
2023-11-20 17:57 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.5227 | Acc: 83.65%
2023-11-20 17:57 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.6809 | Acc: 77.22%
2023-11-20 17:57 Model saved! Best Val Acc: 85.35%
2023-11-20 17:57 test_domain Round:   0 | Epochs:   0 | Domain: s | loss: 1.1193 | Acc: 56.83%
2023-11-20 17:58 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.0397 | Acc: 99.42%
2023-11-20 17:58 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.2628 | Acc: 92.31%
2023-11-20 17:58 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.1796 | Acc: 94.94%
2023-11-20 17:58 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.0487 | Acc: 98.83%
2023-11-20 17:58 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.3780 | Acc: 88.94%
2023-11-20 17:58 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.4660 | Acc: 85.23%
2023-11-20 17:58 Model saved! Best Val Acc: 90.23%
2023-11-20 17:58 test_domain Round:   1 | Epochs:   5 | Domain: s | loss: 0.8320 | Acc: 70.48%
2023-11-20 17:58 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0309 | Acc: 98.83%
2023-11-20 17:58 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.2584 | Acc: 90.38%
2023-11-20 17:59 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.1822 | Acc: 93.25%
2023-11-20 17:59 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0380 | Acc: 99.42%
2023-11-20 17:59 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.3444 | Acc: 89.90%
