2023-11-19 16:10 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.0401 | Acc: 98.83%
2023-11-19 16:10 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.2679 | Acc: 91.35%
2023-11-19 16:10 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.1869 | Acc: 93.72%
2023-11-19 16:10 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.2425 | Acc: 94.74%
2023-11-19 16:10 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.8400 | Acc: 70.19%
2023-11-19 16:10 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.3872 | Acc: 88.94%
2023-11-19 16:10 Model saved! Best Val Acc: 85.19%
2023-11-19 16:10 test_domain Round:   0 | Epochs:   0 | Domain: c | loss: 0.9517 | Acc: 65.70%
2023-11-19 16:10 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.0263 | Acc: 98.83%
2023-11-19 16:10 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.2919 | Acc: 89.90%
2023-11-19 16:11 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.1729 | Acc: 92.71%
2023-11-19 16:11 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.1015 | Acc: 98.25%
2023-11-19 16:11 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.6322 | Acc: 78.37%
2023-11-19 16:11 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.2415 | Acc: 90.20%
2023-11-19 16:11 Model saved! Best Val Acc: 88.79%
2023-11-19 16:11 test_domain Round:   1 | Epochs:   5 | Domain: c | loss: 0.7451 | Acc: 74.87%
2023-11-19 16:11 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0196 | Acc: 99.42%
2023-11-19 16:11 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.3377 | Acc: 88.94%
2023-11-19 16:12 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.2195 | Acc: 93.22%
2023-11-19 16:12 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0910 | Acc: 98.25%
2023-11-19 16:12 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.5621 | Acc: 79.33%
2023-11-19 16:12 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.1977 | Acc: 93.47%
2023-11-19 16:12 Model saved! Best Val Acc: 90.72%
2023-11-19 16:12 test_domain Round:   2 | Epochs:  10 | Domain: c | loss: 0.7657 | Acc: 75.51%
2023-11-19 16:12 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.0227 | Acc: 99.42%
2023-11-19 16:12 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.3175 | Acc: 90.38%
2023-11-19 16:12 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.1683 | Acc: 93.97%
2023-11-19 16:12 after_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.0851 | Acc: 97.08%
2023-11-19 16:12 after_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.5229 | Acc: 80.77%
2023-11-19 16:12 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.1703 | Acc: 93.22%
2023-11-19 16:12 Model saved! Best Val Acc: 90.73%
2023-11-19 16:12 test_domain Round:   3 | Epochs:  15 | Domain: c | loss: 0.8532 | Acc: 75.00%
2023-11-19 16:12 before_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.0110 | Acc: 100.00%
2023-11-19 16:13 before_fed Round:   4 | Epochs:  20 | Domain: a | loss: 0.3018 | Acc: 91.35%
2023-11-19 16:13 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.1886 | Acc: 94.47%
2023-11-19 16:13 after_fed Round:   4 | Epochs:  20 | Domain: p | loss: 0.0672 | Acc: 97.08%
2023-11-19 16:13 after_fed Round:   4 | Epochs:  20 | Domain: a | loss: 0.6616 | Acc: 79.33%
2023-11-19 16:13 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.1643 | Acc: 94.47%
2023-11-19 16:13 Model saved! Best Val Acc: 90.98%
2023-11-19 16:13 test_domain Round:   4 | Epochs:  20 | Domain: c | loss: 0.9275 | Acc: 72.65%
2023-11-19 16:13 before_fed Round:   5 | Epochs:  25 | Domain: p | loss: 0.0133 | Acc: 99.42%
2023-11-19 16:13 before_fed Round:   5 | Epochs:  25 | Domain: a | loss: 0.3048 | Acc: 91.83%
2023-11-19 16:14 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.1668 | Acc: 93.72%
2023-11-19 16:14 after_fed Round:   5 | Epochs:  25 | Domain: p | loss: 0.0394 | Acc: 98.83%
2023-11-19 16:14 after_fed Round:   5 | Epochs:  25 | Domain: a | loss: 0.5444 | Acc: 83.17%
2023-11-19 16:14 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.1862 | Acc: 93.97%
2023-11-19 16:14 Model saved! Best Val Acc: 92.14%
2023-11-19 16:14 test_domain Round:   5 | Epochs:  25 | Domain: c | loss: 0.9103 | Acc: 73.51%
2023-11-19 16:14 before_fed Round:   6 | Epochs:  30 | Domain: p | loss: 0.0103 | Acc: 99.42%
2023-11-19 16:14 before_fed Round:   6 | Epochs:  30 | Domain: a | loss: 0.2984 | Acc: 90.87%
2023-11-19 16:14 before_fed Round:   6 | Epochs:  30 | Domain: s | loss: 0.1629 | Acc: 94.97%
2023-11-19 16:14 after_fed Round:   6 | Epochs:  30 | Domain: p | loss: 0.0343 | Acc: 98.25%
