2023-11-19 16:56 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.0374 | Acc: 98.83%
2023-11-19 16:56 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.3369 | Acc: 86.54%
2023-11-19 16:56 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.2295 | Acc: 93.67%
2023-11-19 16:56 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.0614 | Acc: 99.42%
2023-11-19 16:56 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.4943 | Acc: 81.25%
2023-11-19 16:56 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.6612 | Acc: 72.15%
2023-11-19 16:56 Model saved! Best Val Acc: 82.74%
2023-11-19 16:56 test_domain Round:   0 | Epochs:   0 | Domain: s | loss: 1.0151 | Acc: 61.75%
2023-11-19 16:56 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.0331 | Acc: 99.42%
2023-11-19 16:56 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.2606 | Acc: 91.83%
2023-11-19 16:57 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.2164 | Acc: 93.67%
2023-11-19 16:57 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.0368 | Acc: 99.42%
2023-11-19 16:57 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.3930 | Acc: 86.06%
2023-11-19 16:57 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.4105 | Acc: 86.92%
2023-11-19 16:57 Model saved! Best Val Acc: 90.07%
2023-11-19 16:57 test_domain Round:   1 | Epochs:   5 | Domain: s | loss: 0.7415 | Acc: 72.74%
2023-11-19 16:57 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0357 | Acc: 99.42%
2023-11-19 16:57 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.2667 | Acc: 89.90%
2023-11-19 16:57 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.1612 | Acc: 95.36%
2023-11-19 16:57 after_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0513 | Acc: 98.83%
2023-11-19 16:57 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.3721 | Acc: 87.50%
2023-11-19 16:57 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.3897 | Acc: 88.19%
2023-11-19 16:57 Model saved! Best Val Acc: 90.89%
2023-11-19 16:57 test_domain Round:   2 | Epochs:  10 | Domain: s | loss: 0.7020 | Acc: 75.06%
2023-11-19 16:57 before_fed Round:   3 | Epochs:  15 | Domain: p | loss: 0.0146 | Acc: 99.42%
