2023-11-19 14:00 before_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.0505 | Acc: 98.25%
2023-11-19 14:01 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.2115 | Acc: 93.25%
2023-11-19 14:01 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.2100 | Acc: 92.96%
2023-11-19 14:01 after_fed Round:   0 | Epochs:   0 | Domain: p | loss: 0.2841 | Acc: 94.15%
2023-11-19 14:01 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.6767 | Acc: 77.22%
2023-11-19 14:01 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.3740 | Acc: 87.19%
2023-11-19 14:01 Model saved! Best Val Acc: 85.71%
2023-11-19 14:01 test_domain Round:   0 | Epochs:   0 | Domain: a | loss: 0.9345 | Acc: 68.95%
2023-11-19 14:01 before_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.0473 | Acc: 98.83%
2023-11-19 14:01 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.1562 | Acc: 94.94%
2023-11-19 14:02 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.1731 | Acc: 93.72%
2023-11-19 14:02 after_fed Round:   1 | Epochs:   5 | Domain: p | loss: 0.2237 | Acc: 92.98%
2023-11-19 14:02 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.4502 | Acc: 83.54%
2023-11-19 14:02 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.2536 | Acc: 89.95%
2023-11-19 14:02 Model saved! Best Val Acc: 88.70%
2023-11-19 14:02 test_domain Round:   1 | Epochs:   5 | Domain: a | loss: 0.7192 | Acc: 75.59%
2023-11-19 14:02 before_fed Round:   2 | Epochs:  10 | Domain: p | loss: 0.0423 | Acc: 99.42%
2023-11-19 14:02 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.1769 | Acc: 94.94%
