2023-11-19 13:22 before_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.3062 | Acc: 88.94%
2023-11-19 13:22 before_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.2304 | Acc: 91.56%
2023-11-19 13:22 before_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.2027 | Acc: 93.47%
2023-11-19 13:22 after_fed Round:   0 | Epochs:   0 | Domain: a | loss: 0.7458 | Acc: 75.48%
2023-11-19 13:22 after_fed Round:   0 | Epochs:   0 | Domain: c | loss: 0.5590 | Acc: 80.59%
2023-11-19 13:22 after_fed Round:   0 | Epochs:   0 | Domain: s | loss: 0.3427 | Acc: 90.70%
2023-11-19 13:22 Model saved! Best Val Acc: 84.11%
2023-11-19 13:22 test_domain Round:   0 | Epochs:   0 | Domain: p | loss: 0.3728 | Acc: 91.62%
2023-11-19 13:23 before_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.3011 | Acc: 90.38%
2023-11-19 13:23 before_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.1442 | Acc: 94.09%
2023-11-19 13:23 before_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.1295 | Acc: 95.48%
2023-11-19 13:23 after_fed Round:   1 | Epochs:   5 | Domain: a | loss: 0.5846 | Acc: 81.25%
2023-11-19 13:23 after_fed Round:   1 | Epochs:   5 | Domain: c | loss: 0.4191 | Acc: 86.92%
2023-11-19 13:23 after_fed Round:   1 | Epochs:   5 | Domain: s | loss: 0.2113 | Acc: 93.22%
2023-11-19 13:23 Model saved! Best Val Acc: 88.50%
2023-11-19 13:23 test_domain Round:   1 | Epochs:   5 | Domain: p | loss: 0.2439 | Acc: 92.63%
2023-11-19 13:23 before_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.2426 | Acc: 92.79%
2023-11-19 13:24 before_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.1525 | Acc: 96.62%
2023-11-19 13:24 before_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.1516 | Acc: 94.72%
2023-11-19 13:24 after_fed Round:   2 | Epochs:  10 | Domain: a | loss: 0.5416 | Acc: 81.73%
2023-11-19 13:24 after_fed Round:   2 | Epochs:  10 | Domain: c | loss: 0.4101 | Acc: 84.81%
2023-11-19 13:24 after_fed Round:   2 | Epochs:  10 | Domain: s | loss: 0.1652 | Acc: 94.47%
2023-11-19 13:24 Model saved! Best Val Acc: 88.61%
2023-11-19 13:24 test_domain Round:   2 | Epochs:  10 | Domain: p | loss: 0.2277 | Acc: 92.51%
2023-11-19 13:24 before_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.3407 | Acc: 91.83%
2023-11-19 13:24 before_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.1669 | Acc: 95.36%
2023-11-19 13:25 before_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.1093 | Acc: 96.23%
2023-11-19 13:25 after_fed Round:   3 | Epochs:  15 | Domain: a | loss: 0.4530 | Acc: 85.10%
2023-11-19 13:25 after_fed Round:   3 | Epochs:  15 | Domain: c | loss: 0.3256 | Acc: 87.34%
2023-11-19 13:25 after_fed Round:   3 | Epochs:  15 | Domain: s | loss: 0.1817 | Acc: 93.47%
2023-11-19 13:25 Model saved! Best Val Acc: 89.68%
2023-11-19 13:25 test_domain Round:   3 | Epochs:  15 | Domain: p | loss: 0.2476 | Acc: 91.56%
2023-11-19 13:25 before_fed Round:   4 | Epochs:  20 | Domain: a | loss: 0.2830 | Acc: 92.31%
2023-11-19 13:25 before_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.1455 | Acc: 94.94%
2023-11-19 13:26 before_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.1512 | Acc: 94.47%
2023-11-19 13:26 after_fed Round:   4 | Epochs:  20 | Domain: a | loss: 0.4572 | Acc: 84.62%
2023-11-19 13:26 after_fed Round:   4 | Epochs:  20 | Domain: c | loss: 0.3090 | Acc: 90.30%
2023-11-19 13:26 after_fed Round:   4 | Epochs:  20 | Domain: s | loss: 0.1479 | Acc: 94.97%
2023-11-19 13:26 Model saved! Best Val Acc: 91.11%
2023-11-19 13:26 test_domain Round:   4 | Epochs:  20 | Domain: p | loss: 0.2352 | Acc: 92.69%
2023-11-19 13:26 before_fed Round:   5 | Epochs:  25 | Domain: a | loss: 0.2323 | Acc: 94.23%
2023-11-19 13:26 before_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.1913 | Acc: 94.09%
2023-11-19 13:26 before_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.1537 | Acc: 94.97%
2023-11-19 13:26 after_fed Round:   5 | Epochs:  25 | Domain: a | loss: 0.4289 | Acc: 87.50%
2023-11-19 13:26 after_fed Round:   5 | Epochs:  25 | Domain: c | loss: 0.3031 | Acc: 90.72%
2023-11-19 13:26 after_fed Round:   5 | Epochs:  25 | Domain: s | loss: 0.1595 | Acc: 93.47%
2023-11-19 13:26 Model saved! Best Val Acc: 91.22%
2023-11-19 13:26 test_domain Round:   5 | Epochs:  25 | Domain: p | loss: 0.2229 | Acc: 92.28%
2023-11-19 13:27 before_fed Round:   6 | Epochs:  30 | Domain: a | loss: 0.3268 | Acc: 91.83%
2023-11-19 13:27 before_fed Round:   6 | Epochs:  30 | Domain: c | loss: 0.1500 | Acc: 95.36%
